Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1995:Q2,BabyBoom,29.1,33.3,39.9,42.6,26,35.5,32.3,23.9,59,61.7,55.8,33.4
1995:Q2,GenX,1.9,3.1,4,10.5,0.6,2.4,1.1,2.5,10.5,8.2,19.5,2.2
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,67.9,62.5,54.1,46.9,71,62.2,65.2,72.8,30,29.5,24.3,64.1
1995:Q3,BabyBoom,29.9,34.1,41.3,42.1,27.8,35.4,33.4,24.5,58.9,61.7,55.5,33.4
1995:Q3,GenX,2.2,3.4,4.6,11,1.2,2.4,1.4,2.8,11.2,8.7,20.2,2.5
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,67.3,62,53.8,46.5,69.1,61.9,64.5,72.3,29.6,29.2,24.5,62.2
1995:Q4,BabyBoom,30.4,34.4,41.4,42.3,29.1,35.8,33.9,24.7,58.9,62,54.6,35.1
1995:Q4,GenX,2.3,3.6,4.8,11.2,1.8,2.3,1.6,3,11.5,8.8,20.9,2.7
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,66.6,61.4,53.4,45.9,68.1,61.5,63.6,71.3,29.4,28.8,24.2,63.7
1996:Q1,BabyBoom,30.9,34.8,41.4,42.7,29.9,36.2,34.7,25.5,58.8,62.2,54.1,33.9
1996:Q1,GenX,2.5,3.8,5.2,11.4,2,2.3,1.8,3.2,11.8,9,21.7,2.4
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,66.3,61,53.4,45.9,67.6,60.8,63.4,70.9,29.2,28.5,24.2,62.3
1996:Q2,BabyBoom,31.3,35.2,41.6,42.7,30.2,36.8,34.9,25.9,58.6,62.1,53.5,35.1
1996:Q2,GenX,2.4,3.8,5,11.4,2.1,2.4,1.7,3.2,12.3,9.5,22.4,2.6
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,66.2,60.9,53.3,45.6,68.1,60.2,63.3,70.7,28.9,28.2,24.2,61.2
1996:Q3,BabyBoom,31.6,35.4,41.7,42.9,30.1,37.5,35.3,25.9,58.3,61.8,52.8,36.1
1996:Q3,GenX,2.2,3.7,5,11.5,1.9,2.4,1.4,3.4,12.8,9.9,23,2.6
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,66,60.7,53.5,45,67.4,60.3,63,69.9,28.7,28,24.2,61.5
1996:Q4,BabyBoom,31.7,35.4,41.1,43.2,30.5,37.7,35.2,26.5,58.1,61.8,52.1,36
1996:Q4,GenX,2.3,3.9,5.4,11.9,2.1,2,1.8,3.6,13.2,10.2,23.7,2.5
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,65.4,60.1,53.2,44.5,67.8,59.7,60.6,69.7,28.5,27.7,23.9,60.3
1997:Q1,BabyBoom,32.1,35.7,41,43.5,30.3,38.2,36,26.9,57.9,61.7,51.8,37
1997:Q1,GenX,2.5,4.1,5.7,12,1.9,2.1,3.4,3.5,13.5,10.6,24.3,2.7
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,64.2,59.2,52.7,44.8,65,58.4,60.5,68.3,28.4,27.5,23.8,59.8
1997:Q2,BabyBoom,32.8,36.3,41.5,42.9,31.8,38.6,36.6,27.7,57.7,61.5,51.2,37.3
1997:Q2,GenX,3,4.6,5.8,12.3,3.2,3,2.9,4,13.9,10.9,24.9,2.9
1997:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q3,Silent,63.1,58.2,51.6,44.8,63.7,57.4,59.4,67.5,28.2,27.2,23.8,61.5
1997:Q3,BabyBoom,33.5,36.8,42.2,42.8,32.5,39.3,37.3,28.3,57.3,61.3,50.7,35.8
1997:Q3,GenX,3.4,4.9,6.2,12.5,3.8,3.2,3.4,4.3,14.5,11.5,25.5,2.7
1997:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q4,Silent,62.7,57.9,51.6,44,63.5,56.9,57.6,67.3,28.1,27.1,23.8,59.7
1997:Q4,BabyBoom,33.6,36.8,41.5,43.3,32.6,39.6,37.9,28.1,56.9,60.9,50.2,37.4
1997:Q4,GenX,3.7,5.3,6.9,12.7,3.8,3.5,4.5,4.5,15,12.1,26,2.9
1997:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q1,Silent,61,56.5,50.9,44,61.2,55.3,56,65.8,27.9,26.9,23.5,59
1998:Q1,BabyBoom,34.5,37.4,41.9,42.8,33.8,40,38.6,29.4,56.6,60.4,49.9,37.8
1998:Q1,GenX,4.5,6,7.3,13.2,5,4.6,5.4,4.9,15.5,12.7,26.6,3.2
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,60.6,56.2,51,43.7,61.1,54.4,55.6,65.3,27.7,26.6,23.4,59.3
1998:Q2,BabyBoom,34.8,37.7,41.7,43,33.9,40.6,39.5,29.9,56.3,60.4,49.4,37.6
1998:Q2,GenX,4.5,6.1,7.3,13.3,5,5,4.9,4.8,16,13.1,27.2,3.1
1998:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q3,Silent,61.1,56.4,49.6,44,63.9,54.7,54.6,66,27.4,26.3,23.3,58.3
1998:Q3,BabyBoom,35.2,38.2,43.1,43.6,32.6,41.5,40,29.6,56.2,60.2,49,38.7
1998:Q3,GenX,3.7,5.5,7.3,12.4,3.5,3.9,5.4,4.3,16.4,13.6,27.7,3
1998:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q4,Silent,59.1,54.7,49.7,43.1,59.6,52.6,54.1,63.6,26.7,25.6,22.6,57.4
1998:Q4,BabyBoom,35.7,38.5,42.5,43.1,34.9,41.4,40.4,30.5,56.4,60.3,49.3,39.1
1998:Q4,GenX,5.2,6.8,7.9,13.9,5.5,6,5.5,5.8,17,14.1,28.1,3.5
1998:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q1,Silent,58.5,54.1,48.7,42.8,59.5,51.6,54.7,62.6,26,25,21.7,57.8
1999:Q1,BabyBoom,36.2,39,43.3,42.9,34.9,42,40.5,31.5,56.7,60.6,49.8,38.8
1999:Q1,GenX,5.3,6.9,8.1,14.3,5.6,6.4,4.8,5.9,17.3,14.5,28.5,3.4
1999:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q2,Silent,57.4,53.1,48.2,42,57.7,50.2,54.9,61.7,25.5,24.3,20.9,58.6
1999:Q2,BabyBoom,36.8,39.5,43.3,42.8,35.8,42.6,41.1,32.2,56.8,60.7,50.1,37.8
1999:Q2,GenX,5.8,7.4,8.5,15.2,6.5,7.2,4,6.1,17.7,14.9,28.9,3.6
1999:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q3,Silent,57.4,52.9,47,41.5,58.5,50.2,54.3,62.1,24.8,23.7,20.2,59
1999:Q3,BabyBoom,37.3,40,44.2,43.4,35.4,43.8,41.4,31.8,56.9,60.7,50.5,37.5
1999:Q3,GenX,5.3,7.1,8.8,15,6.1,5.9,4.3,6.1,18.3,15.7,29.3,3.5
1999:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q4,Silent,55.7,51.5,46.7,40.9,55.3,47.6,54,61.2,24.6,23.2,19.6,60.3
1999:Q4,BabyBoom,37.6,40.2,44.2,42.9,36.8,44.4,41.7,30.9,56.3,60.1,50.8,35.9
1999:Q4,GenX,6.7,8.4,9.1,16.2,7.9,8,4.3,7.9,19.1,16.7,29.6,3.9
1999:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q1,Silent,54.4,50.4,45.9,40.3,54.4,46,54.6,59.3,24.5,22.8,18.8,61.5
2000:Q1,BabyBoom,38.8,41.1,44.6,43,37.2,45.6,41.8,33.6,55.7,59.4,51.4,34.3
2000:Q1,GenX,6.8,8.5,9.4,16.7,8.4,8.4,3.7,7.1,19.7,17.8,29.9,4.2
2000:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q2,Silent,54.3,50.1,45.6,39.5,55.2,45.1,55,59.1,23.8,22.2,18.1,61
2000:Q2,BabyBoom,39.3,41.5,44.8,43.6,36.8,46.8,42,34.1,55.8,59.2,51.7,34.8
2000:Q2,GenX,6.4,8.3,9.7,16.9,8,8.1,3,6.8,20.4,18.5,30.2,4.2
2000:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q3,Silent,53.6,49.4,44.4,39.3,54.9,44.2,53.5,59.3,23.2,21.7,17.6,61.1
2000:Q3,BabyBoom,39.7,41.9,45.7,43.7,37,47.8,41.8,33.3,55.7,59,51.9,34.8
2000:Q3,GenX,6.7,8.7,9.9,17,8.1,8,4.8,7.4,21.1,19.3,30.5,4.2
2000:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q4,Silent,53.9,49.4,44.3,38.2,56.6,44.2,52.9,59.1,22.3,21.1,17.1,59.5
2000:Q4,BabyBoom,39.8,42.1,45.4,44.7,36.3,48.9,41.9,33.4,56.1,59.3,52.1,36.4
2000:Q4,GenX,6.3,8.4,10.3,17.1,7,6.9,5.2,7.5,21.5,19.6,30.8,4.1
2000:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q1,Silent,54,49.4,44.3,37.4,57.6,44.6,52.4,58.6,21.4,20.6,16.4,58.2
2001:Q1,BabyBoom,40.2,42.5,45,45.7,36.2,49.9,42.1,34,56.5,59.3,52.5,38
2001:Q1,GenX,5.8,8.1,10.6,16.9,6.1,5.5,5.5,7.4,22.1,20.1,31.1,3.8
2001:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q2,Silent,52.9,48.3,43.5,37.1,55.6,43.4,51.8,57.4,20.8,20,15.7,58.2
2001:Q2,BabyBoom,40.7,43,45.5,45.5,37.3,50,42.5,35,56.8,59.6,52.7,38.1
2001:Q2,GenX,6.4,8.7,11.1,17.4,7,6.6,5.6,7.6,22.4,20.4,31.5,3.7
2001:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q3,Silent,53,48.2,42.5,36.7,57.5,43.8,51.4,57.5,20.7,19.5,15.1,60.1
2001:Q3,BabyBoom,41.5,43.6,46.1,46.3,36.8,51.3,42.8,35.1,55.9,58.6,52.9,36
2001:Q3,GenX,5.5,8.2,11.3,16.8,5.6,5,5.8,7.3,23.1,21.7,31.7,3.9
2001:Q3,Millennial,0,0.1,0.1,0.2,0,0,0,0.1,0.2,0.2,0.4,0
2001:Q4,Silent,52.3,47.5,42.3,36.4,54.9,42.8,50.5,57.9,19.8,18.9,15.5,57.3
2001:Q4,BabyBoom,41,43.4,46.1,45.9,38.4,50.7,43.7,33.1,56.9,59.9,51.8,39.3
2001:Q4,GenX,6.6,9,11.5,17.4,6.7,6.6,5.8,8.8,23.1,21.1,32.2,3.3
2001:Q4,Millennial,0,0.1,0.1,0.3,0,0,0,0.1,0.2,0.1,0.5,0.1
2002:Q1,Silent,51.9,47.1,42.1,36,54.4,42.4,49.9,57.3,19.4,18.5,15.5,55.8
2002:Q1,BabyBoom,41.6,43.7,45.9,46,38.9,51.1,44.4,33.9,56.4,59.1,51.3,40.7
2002:Q1,GenX,6.5,9.1,11.9,17.7,6.6,6.5,5.6,8.7,23.9,22.2,32.6,3.5
2002:Q1,Millennial,0.1,0.1,0.1,0.4,0,0,0,0.1,0.3,0.2,0.6,0.1
2002:Q2,Silent,51.9,46.9,41.7,35.5,55.5,42.9,49.2,57.1,18.8,18.1,15.7,53.6
2002:Q2,BabyBoom,42.4,44.5,45.7,46.8,39.1,52.1,45.2,36,56,58.5,50.6,43.3
2002:Q2,GenX,5.5,8.5,12.4,17.3,5.5,5,5.6,6.7,24.8,23.2,33,3
2002:Q2,Millennial,0.1,0.1,0.2,0.5,0,0,0,0.2,0.4,0.3,0.7,0.1
2002:Q3,Silent,52.3,46.9,40.6,35.4,58.2,43.3,48.4,58.2,18.3,17.6,15.9,51.1
2002:Q3,BabyBoom,42.9,44.9,46.4,47.4,38.8,53.2,45.8,34.9,56,58.6,49.8,46.3
2002:Q3,GenX,4.8,8,12.8,16.6,3,3.4,5.8,6.7,25.2,23.6,33.5,2.5
2002:Q3,Millennial,0.1,0.2,0.2,0.6,0,0.1,0.1,0.1,0.4,0.3,0.9,0.1
2002:Q4,Silent,51.8,46.4,40,35.6,56.7,42.5,47.3,58.6,17.9,17.2,16,49.7
2002:Q4,BabyBoom,43.1,45.1,46.9,46.9,39.9,52.9,48.9,33.3,55.8,58.4,49.1,47.8
2002:Q4,GenX,5,8.3,13,16.9,3.4,4.4,3.7,7.9,25.8,24.1,33.9,2.4
2002:Q4,Millennial,0.1,0.2,0.2,0.6,0,0.2,0.1,0.2,0.4,0.3,1,0.1
2003:Q1,Silent,51.7,46.2,40,35.2,57.3,43,46.2,57.9,17.7,16.8,16,49.5
2003:Q1,BabyBoom,43.4,45.3,46.5,47.1,40.3,53.3,48.8,34.3,55.6,58.3,48.5,48
2003:Q1,GenX,4.8,8.3,13.3,17,2.4,3.6,4.9,7.6,26.2,24.7,34.3,2.4
2003:Q1,Millennial,0.1,0.2,0.2,0.7,0,0.1,0.1,0.2,0.5,0.3,1.1,0.1
2003:Q2,Silent,51,45.6,39.8,35.1,54.4,42.5,45.6,57.1,17.9,16.4,16.2,54.1
2003:Q2,BabyBoom,43.7,45.5,46.5,46.5,41.4,52.9,49.1,35.1,54.9,57.8,47.8,42.6
2003:Q2,GenX,5.2,8.7,13.4,17.6,4.2,4.6,5.2,7.5,26.7,25.5,34.7,3.3
2003:Q2,Millennial,0.1,0.2,0.3,0.8,0,0,0.2,0.2,0.5,0.3,1.3,0
2003:Q3,Silent,50.6,45.2,39.2,35.3,53.1,42.6,44.8,57.1,17.5,16.1,16.3,51.9
2003:Q3,BabyBoom,44.1,45.7,47,46.2,42.2,52.9,49.3,35,54.2,56.8,47.2,44.8
2003:Q3,GenX,5.2,8.8,13.6,17.6,4.7,4.5,5.7,7.7,27.7,26.6,35.1,3.2
2003:Q3,Millennial,0.1,0.2,0.3,0.9,0,0,0.2,0.3,0.7,0.4,1.4,0.1
2003:Q4,Silent,49.8,44.5,38,35.3,51.1,41.9,44.2,57.3,17.1,15.7,16.4,47.6
2003:Q4,BabyBoom,44,45.6,47.3,45.6,43,52.6,49.7,33.8,54.2,56.9,46.5,48.3
2003:Q4,GenX,6.1,9.6,14.4,18.1,5.9,5.5,5.9,8.6,28,26.9,35.5,3.9
2003:Q4,Millennial,0.1,0.2,0.3,1,0,0,0.2,0.3,0.7,0.4,1.6,0.1
2004:Q1,Silent,49.2,44.2,38.3,35.1,50,41.2,43,56.5,16.9,15.5,16.4,47.8
2004:Q1,BabyBoom,44.3,45.8,47.1,45.5,43.6,52.9,49.5,35.4,53.9,56.6,46.1,48
2004:Q1,GenX,6.3,9.8,14.3,18.3,6.3,5.9,7.2,7.8,28.5,27.5,35.8,4.1
2004:Q1,Millennial,0.2,0.2,0.3,1.1,0,0,0.3,0.2,0.7,0.5,1.7,0.1
2004:Q2,Silent,48.5,43.5,37.4,35.3,49.8,40.6,41.4,56.5,16.7,15.2,16.5,47.9
2004:Q2,BabyBoom,44.8,46.2,47.6,45.3,44.2,53.1,49.1,35.5,53.3,55.8,45.6,47.8
2004:Q2,GenX,6.5,10.1,14.6,18.3,5.9,6.2,9.2,7.8,29.2,28.5,36.1,4.2
2004:Q2,Millennial,0.2,0.3,0.3,1.2,0,0,0.3,0.3,0.9,0.6,1.8,0.1
2004:Q3,Silent,47.9,42.8,36.5,34.9,49.6,40.1,40,56.6,16.3,14.9,16.6,46.5
2004:Q3,BabyBoom,45.1,46.4,47.4,45.4,44.7,53.8,48.8,35.7,53,55.5,45,49.6
2004:Q3,GenX,6.8,10.5,15.7,18.3,5.7,6.1,10.8,7.4,29.7,29,36.4,3.8
2004:Q3,Millennial,0.2,0.3,0.4,1.3,0,0,0.5,0.2,0.9,0.7,2,0
2004:Q4,Silent,47.1,42.2,36.4,34.5,48.9,38.3,39.7,56,16.4,14.7,16.4,49.9
2004:Q4,BabyBoom,45.1,46.2,47.3,45,44.7,54.1,48.7,35,52.2,54.7,44.8,45.9
2004:Q4,GenX,7.6,11.2,16,19.1,6.4,7.5,11.1,8.7,30.3,29.9,36.5,4.2
2004:Q4,Millennial,0.2,0.3,0.4,1.4,0,0.1,0.6,0.2,1.1,0.8,2.4,0
2005:Q1,Silent,46.6,41.8,36.2,33.9,49.2,37.7,39.5,54.8,16.1,14.4,16,50.6
2005:Q1,BabyBoom,45.5,46.7,46.9,45.1,44.7,54.8,49,37.1,52.7,55.2,44.8,45.7
2005:Q1,GenX,7.6,11.2,16.5,19.4,6,7.4,10.8,7.8,30.3,29.8,36.6,3.7
2005:Q1,Millennial,0.3,0.4,0.4,1.6,0,0.2,0.7,0.2,1,0.6,2.6,0
2005:Q2,Silent,46,41.2,35.8,32.9,49.1,36.8,39,54.2,15.8,14.2,15.7,50.7
2005:Q2,BabyBoom,45.6,46.7,46.3,45.2,44.8,55.3,49.2,37.5,52.2,54.6,44.7,45.5
2005:Q2,GenX,8.1,11.7,17.5,20.1,6,7.7,11,8.1,30.9,30.6,36.7,3.8
2005:Q2,Millennial,0.3,0.4,0.5,1.8,0,0.2,0.8,0.2,1.1,0.6,2.9,-0
2005:Q3,Silent,45.2,40.4,35.1,32.7,48.7,35.7,38.5,53.3,15.6,14,15.5,50.5
2005:Q3,BabyBoom,45.9,46.8,46.3,45,44.8,55.7,49.4,37.8,51.8,54,44.5,45.6
